reviewer_id,timestamp,company_name,company_type,company_size,company_address,is_review,review_content
0d5427,2 năm trước,101 Digital,product,1/1/1950 0:00,Ha Noi,TRUE,"móa công ty dơ bỏ mẹ. t làm test xong gửi cho công ty review, nó không reply 1 dòng. 5 ngày sau, tới lúc set github repo sang private sau khi hỏi nó có feedback gì không thì 12 tiếng sau nó báo là reviewer của nó feedback là không matching. công ty như quần què làm mất thời gian bỏ mẹ."
6c65a0,2 năm trước,101 Digital,product,1/1/1950 0:00,Ha Noi,TRUE,"các bạn cẩn thận, công ty quỵt lương nhân viên, lấy cớ đuổi. do không có pháp lý ở vn nên cũng không làm gì được"
e51f79,2 năm trước,101 Digital,product,1/1/1950 0:00,Ha Noi,FALSE,"công ty sập chưa pà con, hóng vãi"
cf4ae4,1 năm trước,101 Digital,product,1/1/1950 0:00,Ha Noi,TRUE,"công ty nợ lương , làm project web3 lùa gà"
57a2ea,2 năm trước,101 Digital,product,1/1/1950 0:00,Ha Noi,TRUE,"công ty quá là vớ vẩn, hr toàn làm việc ngoài giờ hành chính, nói chung là né ra."
6ec654,2 năm trước,101 Digital,product,1/1/1950 0:00,Ha Noi,TRUE,"từ hr đến technical lead rất là ngáo đá, đánh giá không cao, anh em né ra nhé."
c3ea79,7 tháng trước,123 Website,product,51-150,318 Phan Văn Trị Binh Thanh Ho Chi Minh,TRUE,"phòng qa bên mình được đầu tư chỉn chu, có tool, có quy trình. các team phối hợp tốt, không đổ lỗi nhau khi có sự cố."
c6635b,7 tháng trước,123 Website,product,51-150,318 Phan Văn Trị Binh Thanh Ho Chi Minh,TRUE,"được training kỹ, giao dự án thực tế, có mentor kèm sát. cảm ơn công ty đã tạo điều kiện để mình học hỏi và phát triển."
db7c31,7 tháng trước,123 Website,product,51-150,318 Phan Văn Trị Binh Thanh Ho Chi Minh,TRUE,"vào đây được giao việc rõ ràng, không bị chồng chéo hay mơ hồ. project manager quản lý ổn, sếp fair và tôn trọng nhân viên."
1abc60,7 tháng trước,123 Website,product,51-150,318 Phan Văn Trị Binh Thanh Ho Chi Minh,TRUE,"làm laravel ở đây sướng, cấu trúc code rõ ràng, quy trình git chuẩn. dev được tự chủ công nghệ và được review code kỹ."
01db29,7 tháng trước,123 Website,product,51-150,318 Phan Văn Trị Binh Thanh Ho Chi Minh,TRUE,"công ty có quy trình hỗ trợ khách rất rõ ràng, không để khách chờ lâu. mình học được cách xử lý tình huống chuyên nghiệp."
a8a874,7 tháng trước,123 Website,product,51-150,318 Phan Văn Trị Binh Thanh Ho Chi Minh,TRUE,"team design hoạt động hiệu quả, được tham gia từ giai đoạn lên wireframe tới prototype. công ty tôn trọng yếu tố sáng tạo."
d5ccd9,7 tháng trước,123 Website,product,51-150,318 Phan Văn Trị Binh Thanh Ho Chi Minh,TRUE,"môi trường ổn áp, đồng nghiệp vui vẻ, có team support nhanh. dự án phong phú, có frontend, backend, cả mobile app luôn."
e81004,7 tháng trước,123 Website,product,51-150,318 Phan Văn Trị Binh Thanh Ho Chi Minh,TRUE,"chưa nơi nào mình thấy sếp lắng nghe nhân viên như ở đây. lương đúng hạn, công việc ổn định, không drama."
dd2258,5 năm trước,123 Website,product,51-150,318 Phan Văn Trị Binh Thanh Ho Chi Minh,TRUE,"công việc nhiều vãi nồi, cũng được chỉ bảo một chút nhưng đa số tự bơi, hay bị ăn hành bởi khách hàng luyện sự kiên nhẫn, ai muốn làm các dự án web simple thì vào luyện tay rồi ra cũng ôke."
51aa27,7 tháng trước,123 Website,product,51-150,318 Phan Văn Trị Binh Thanh Ho Chi Minh,TRUE,"được sử dụng công cụ test chuyên nghiệp, tài liệu đầy đủ, được tạo điều kiện đề xuất cải tiến quy trình."
35034a,7 tháng trước,123 Website,product,51-150,318 Phan Văn Trị Binh Thanh Ho Chi Minh,TRUE,"làm ở đây 3 năm rồi, chứng kiến công ty phát triển rõ rệt. điều mình thích nhất là công ty tôn trọng người làm thật."
2a0aeb,7 tháng trước,123 Website,product,51-150,318 Phan Văn Trị Binh Thanh Ho Chi Minh,TRUE,"đã gắn bó công ty 7 năm, môi trường làm việc thoải mái, các bạn hòa đồng, giúp đỡ lẫn nhau cùng phát triển"
802e5e,10 tháng trước,123 Website,product,51-150,318 Phan Văn Trị Binh Thanh Ho Chi Minh,TRUE,"công ty dev phải kiêm luôn hết nhiệm vụ, nhân viên thì chảnh chọe, bảo hiểm thì không đóng báo nợ gần cả năm, sếp thì hứa và chỉ hứa, đi khám bệnh đưa bill thì kiếm cớ để không thanh toán, khuyên anh em né vội nhé, tuyển senior mà dưới 10 củ ai mà vô, vô làm thì như osin"
28800f,7 tháng trước,123 Website,product,51-150,318 Phan Văn Trị Binh Thanh Ho Chi Minh,TRUE,"mình làm ở đây hơn 1 năm, chuyển công ty vì lý do cá nhân nhưng vẫn đánh giá cao môi trường và anh em dev ở đây."
e5a06f,7 tháng trước,123 Website,product,51-150,318 Phan Văn Trị Binh Thanh Ho Chi Minh,TRUE,"brand guideline rõ ràng, khách hàng biết mình muốn gì. không bị sửa lòng vòng. leader design có gu, góp ý rất có tâm."
9913cd,7 tháng trước,123 Website,product,51-150,318 Phan Văn Trị Binh Thanh Ho Chi Minh,TRUE,"môi trường làm việc chuyên nghiệp, anh em hỗ trợ nhau rất tốt. lãnh đạo thân thiện, định hướng rõ ràng. mình học được rất nhiều khi làm ở đây."
d66d38,7 tháng trước,123 Website,product,51-150,318 Phan Văn Trị Binh Thanh Ho Chi Minh,TRUE,"mới ra trường đã may mắn vào công ty này. không khí thân thiện, học được rất nhiều về dự án thực tế và cách làm teamwork."
